X1,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10,0,0.3440552919,0.3534361687,0.0215,0.01525,0.023
1,10,0.5,0.3487369278,0.3582851832,0.036,0.0255,0.028
2,10,1,0.3592396843,0.4114429116,0.0755,0.0385,0.068
3,10,1.5,0.4019049759,0.448879618,0.099,0.0665,0.081
4,10,2,0.4537819128,0.5027356628,0.161125,0.08225,0.128625
5,10,2.5,0.5007596335,0.5562635842,0.208,0.1225,0.1635
6,10,3,0.5769038995,0.6161284787,0.285,0.1796666667,0.1986666667
7,10,3.5,0.644987772,0.7195965655,0.379,0.2235,0.278
8,10,4,0.7417849677,0.7794265081,0.4665,0.305,0.3371666667
9,10,5,0.8939932568,0.9589417399,0.652,0.4415,0.494
10,10,6,1.0963532097,1.1180402237,0.814,0.6025,0.629
11,10,8,1.4458929564,1.4199972407,0.953,0.85375,0.8255
12,10,10,1.8327758825,1.7109696323,0.994,0.9745,0.9385
13,10,12,2.1925815869,1.9641273728,1,0.99525,0.98175
14,20,0,0.245688335,0.2512750389,0.023125,0.016625,0.020625
15,20,0.5,0.2586513702,0.2635010747,0.0505,0.0375,0.0445
16,20,1,0.2819827664,0.2995536846,0.0956666667,0.0638333333,0.0856666667
17,20,1.5,0.3297609754,0.3618116026,0.189,0.113,0.1435
18,20,2,0.378793168,0.4198303551,0.27875,0.16425,0.210875
19,20,2.5,0.4473293754,0.5079401018,0.4165,0.235,0.308
20,20,3,0.5212735476,0.5930076574,0.5633333333,0.3233333333,0.4135
21,20,3.5,0.6186599882,0.656549347,0.6685,0.46,0.509
22,20,4,0.7022452404,0.7540069361,0.7828333333,0.5693333333,0.632
23,20,5,0.8653392769,0.923360595,0.9345,0.768,0.803
24,20,6,1.0554052944,1.0823058549,0.978,0.909,0.918
25,20,8,1.4161422854,1.3892024435,1,0.99425,0.99
26,20,10,1.7639233979,1.6540686578,1,1,1
27,20,12,2.1536349447,1.8987033193,1,1,1
28,30,0,0.1966327107,0.2041411995,0.021,0.01875,0.020375
29,30,0.5,0.2087168854,0.2220074468,0.0615,0.042,0.0575
30,30,1,0.2406575376,0.2619881004,0.1273333333,0.0798333333,0.1021666667
31,30,1.5,0.297092394,0.3220924929,0.24,0.1515,0.1835
32,30,2,0.3565869198,0.4030763614,0.4045,0.23675,0.303
33,30,2.5,0.4370883552,0.4889562054,0.578,0.356,0.441
34,30,3,0.5196476356,0.5774547572,0.7386666667,0.493,0.5865
35,30,3.5,0.6017240595,0.6583402189,0.8565,0.626,0.714
36,30,4,0.6850207535,0.750421879,0.9286666667,0.7486666667,0.8173333333
37,30,5,0.8743612355,0.9113337825,0.989,0.921,0.9275
38,30,6,1.0408946064,1.0806386254,1,0.981,0.988
39,30,8,1.4151141531,1.3715218397,1,1,0.999
40,30,10,1.7725122878,1.635932918,1,1,1
41,30,12,2.1225699086,1.8900729016,1,1,1
42,40,0,0.1709065599,0.176921493,0.021375,0.019875,0.021125
43,40,0.5,0.1821488545,0.1907988868,0.063,0.0385,0.051
44,40,1,0.2223190185,0.2379763759,0.156,0.1003333333,0.1226666667
45,40,1.5,0.2731259442,0.3172751145,0.331,0.173,0.256
46,40,2,0.3452996112,0.393772769,0.525125,0.300875,0.38775
47,40,2.5,0.4307541314,0.486486608,0.7105,0.461,0.5675
48,40,3,0.5054634976,0.5774565953,0.8548333333,0.604,0.7115
49,40,3.5,0.6057683888,0.6564548698,0.9335,0.767,0.827
50,40,4,0.6914261703,0.7511982498,0.983,0.8715,0.9178333333
51,40,5,0.8646106189,0.9015727599,0.9985,0.982,0.979
52,40,6,1.0574765978,1.073317833,1,0.997,0.9975
53,40,8,1.3959166938,1.376969531,1,1,1
54,40,10,1.7596322322,1.6345496422,1,1,1
55,40,12,2.1119187554,1.8836771459,1,1,1
56,50,0,0.1525490363,0.1545074462,0.02025,0.01775,0.020375
57,50,0.5,0.1670610267,0.1705722511,0.07,0.048,0.0565
58,50,1,0.2024466271,0.2301357156,0.1898333333,0.1066666667,0.1571666667
59,50,1.5,0.2727394432,0.3024685347,0.395,0.232,0.289
60,50,2,0.3429326724,0.3876849319,0.603375,0.371875,0.468875
61,50,2.5,0.4230016385,0.4840446557,0.8155,0.5485,0.6755
62,50,3,0.5104257642,0.5712151639,0.922,0.724,0.806
63,50,3.5,0.5954589953,0.6615100565,0.9785,0.845,0.909
64,50,4,0.6795933187,0.7459144066,0.9923333333,0.9246666667,0.963
65,50,5,0.8722177904,0.9107899178,1,0.993,0.9985
66,50,6,1.0337563751,1.0721857231,1,0.9995,1
67,50,8,1.4064060582,1.374418867,1,1,1
68,50,10,1.7562177532,1.6294995197,1,1,1
69,50,12,2.1039479398,1.8634215048,1,1,1
70,60,0,0.1383938671,0.1431510565,0.02125,0.0175,0.0215
71,60,0.5,0.1556987478,0.1654935602,0.0895,0.0505,0.076
72,60,1,0.196127565,0.2232467101,0.22875,0.13025,0.189
73,60,1.5,0.2653086076,0.3054464104,0.4685,0.2645,0.3685
74,60,2,0.339454617,0.3880322032,0.70075,0.431,0.5565
75,60,2.5,0.4245174741,0.4887207144,0.8905,0.6405,0.7465
76,60,3,0.5117372138,0.5702207633,0.96175,0.80175,0.88425
77,60,3.5,0.5950529991,0.6641354149,0.993,0.9155,0.952
