,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,0.34441688218528954,0.35393644179749983,0.0215,0.015333333333333332,0.023
1,10.0,0.4999999999999982,0.3487369278463537,0.35828518323793523,0.036,0.0255,0.028
2,10.0,1.0000000000000009,0.35877979463369614,0.41117877971338773,0.075,0.03825,0.068
3,10.0,1.4999999999999991,0.4019049758724761,0.44887961797775766,0.099,0.0665,0.081
4,10.0,2.0000000000000018,0.4523983898653365,0.5031812498465219,0.16133333333333333,0.08116666666666666,0.12833333333333333
5,10.0,2.5,0.5007596334659847,0.5562635841995086,0.208,0.1225,0.1635
6,10.0,2.9999999999999982,0.5775456353948195,0.6163580277721181,0.2855,0.181,0.19875
7,10.0,3.5000000000000013,0.6449877719992275,0.7195965655324564,0.379,0.2235,0.278
8,10.0,3.9999999999999987,0.7411827907161722,0.7791640801846811,0.4655,0.30375,0.33625
9,10.0,5.0,0.8939932568378882,0.9589417398931946,0.652,0.4415,0.494
10,10.0,6.000000000000001,1.0963532096849813,1.1180402237443159,0.814,0.6025,0.629
11,10.0,7.999999999999997,1.445892956370186,1.419997240738306,0.953,0.85375,0.8255
12,10.0,10.0,1.8327758825462637,1.7109696322673493,0.994,0.9745,0.9385
13,10.0,12.000000000000002,2.1925815868697454,1.964127372799769,1.0,0.99525,0.98175
14,20.0,0.0,0.245121850393883,0.2509194008852022,0.02266666666666667,0.018,0.02
15,20.0,0.4999999999999982,0.25865137019838935,0.2635010746877747,0.0505,0.0375,0.0445
16,20.0,1.0000000000000009,0.2836853999578183,0.2979867726447834,0.09575,0.0665,0.08525
17,20.0,1.4999999999999991,0.3297609753732575,0.3618116025759174,0.189,0.113,0.1435
18,20.0,2.0000000000000018,0.37905746765689224,0.41918803116023506,0.2788333333333333,0.16566666666666666,0.2095
19,20.0,2.5,0.4473293753731593,0.5079401017918614,0.4165,0.235,0.308
20,20.0,2.9999999999999982,0.5190320681016038,0.5970308359547349,0.56875,0.31725,0.41275
21,20.0,3.5000000000000013,0.6186599881796486,0.6565493469571418,0.6685,0.46,0.509
22,20.0,3.9999999999999987,0.7073894314924049,0.7575073327514266,0.782,0.57575,0.63425
23,20.0,5.0,0.8653392768663946,0.9233605949840754,0.9345,0.768,0.803
24,20.0,6.000000000000001,1.05540529435011,1.0823058548930116,0.978,0.909,0.918
25,20.0,7.999999999999997,1.4161422853629193,1.389202443532415,1.0,0.99425,0.99
26,20.0,10.0,1.7639233979404554,1.6540686577706099,1.0,1.0,1.0
27,20.0,12.000000000000002,2.1536349447108214,1.8987033193068275,1.0,1.0,1.0
28,30.0,0.0,0.1978841431770052,0.204716373719429,0.022333333333333334,0.020166666666666666,0.019833333333333335
