,sample_size,RT_effect_size,Acc_effect_size,Drift_effect_size,RTsig,Acsig,Drsig
0,20.0,0.008960082501821778,-0.00491163994478762,0.0,0.03,0.02,0.05
1,40.0,0.006625338027356947,0.015014168069647392,0.0,0.04,0.0,0.02
2,200.0,0.007950273704760728,-0.009091201714458524,0.0,0.05,0.06,0.09
0,20.0,0.34386207224145116,-0.3879018723005906,2.0000000000000004,0.12,0.22,0.42
1,40.0,0.3445741762578929,-0.37947911038421134,2.0000000000000004,0.28,0.35,0.73
2,200.0,0.33911855938280894,-0.3918133557702045,2.0000000000000004,0.91,0.98,1.0
0,20.0,0.6945776300367111,-0.7410824062053841,3.9999999999999996,0.61,0.61,0.84
1,40.0,0.6954533145590963,-0.7408906721501403,3.9999999999999996,0.87,0.93,0.98
2,200.0,0.6874066789985427,-0.7535932095468609,3.9999999999999996,1.0,1.0,1.0
0,10.0,0.31395683300157295,-0.4392483519966537,2.0000000000000004,0.06,0.16,0.24
1,20.0,0.30368317121880906,-0.4154600269020811,2.0000000000000004,0.12,0.22,0.43
2,30.0,0.3322854861258837,-0.3868584322331728,2.0000000000000004,0.21,0.26,0.47
3,40.0,0.3506916136574661,-0.38521497922061626,2.0000000000000004,0.35,0.34,0.64
4,50.0,0.3178813490225829,-0.44525813249759133,2.0000000000000004,0.32,0.6,0.79
5,60.0,0.3185541205191227,-0.3826278513484605,2.0000000000000004,0.37,0.53,0.76
6,70.0,0.341668332825863,-0.38884346322566166,2.0000000000000004,0.55,0.64,0.87
7,80.0,0.3182865102934762,-0.3751173402075442,2.0000000000000004,0.51,0.69,0.81
8,100.0,0.3330032863496899,-0.3615417202091337,2.0000000000000004,0.68,0.72,0.95
9,200.0,0.34597794663694453,-0.3752289019484074,2.0000000000000004,0.96,0.99,1.0
0,20.0,1.0501414845297241,-1.0962251162831032,6.000000000000001,0.91,0.95,0.99
1,40.0,1.0292095786718765,-1.0872563413925653,6.000000000000001,0.99,1.0,1.0
2,200.0,1.023513999348579,-1.0633976703627217,6.000000000000001,1.0,1.0,1.0
